nitrocellulose.txt		Wu, 1989(273)	Contact angle	γs = 38 mJ/m2; 20oC                               Test liquids not known.
nitrocellulose.txt		van Oss, 1989(87)	Contact angle	γs = 45 mJ/m2 (γsLW = 45, γsAB = 0.0,             Test liquids not known; acid-base analysis. | γs+ = 0.0, γs- = 16); no temp cited
nitrocellulose.txt		Lee, 1999(116)	Contact angle	γs = 45.2 mJ/m2 (γsLW = 44.7, γ sAB = 0.5,        Test liquids: water, alpha-bromonaphthalene, diiodomethane, | γs+ = 0.01, γs- = 10.7); 20oC                     formamide, and glycerin; acid-base analysis, based on reference | values for water of γ+ = 34.2 mJ/m2 and γ- = 19 mJ/m2.
nylon11.txt		Fort, 1964(17)	Critical ST	γc = 33 mJ/m2; 22oC, 65% RH                     Test liquids: water, glycerol, and formamide.
nylon11.txt		Dann, 1970(94)	Critical ST	γc = 32 mJ/m2; 25oC                             Ethylene glycol/2-ethoxyethanol mixes, based on advancing | contact angles.
nylon11.txt		Dann, 1970(94)	Critical ST	γc = 43 mJ/m2; 25oC                             Ethylene glycol/2-ethoxyethanol mixes, based on retreating | contact angles.
nylon11.txt		Dann, 1970(94)	Critical ST	γc = 31.5 mJ/m2; 25oC                           Polyglycol blends, based on advancing contact angles.
nylon11.txt		Dann, 1970(94)	Critical ST	γc = 37 mJ/m2; 25oC                             Polyglycol blends, based on retreating contact angles.
nylon11.txt		Dann, 1970(94)	Critical ST	γc = 31 mJ/m2; 25oC                             Formamide/2-ethoxyethanol mixes, based on advancing | contact angles.
nylon11.txt		Dann, 1970(94)	Critical ST	γc = 37 mJ/m2; 25oC                             Formamide/2-ethoxyethanol mixes, based on retreating | contact angles.
nylon11.txt		Dann, 1970(94)	Critical ST	γc = 40 mJ/m2; 25oC                             Per ASTM D-2578, using formamide/2-ethoxyethanol mixes.
nylon11.txt		Fort, 1964(17)	Contact angle	θWA = 89o; 22oC, 65% RH
nylon11.txt		Dann, 1970(94)	Contact angle	θWA = 75o; 25oC                                 Sessile drop method; surface cleaned with detergent and rinsed | with distilled water.
nylon11.txt		Dann, 1970(94)	Contact angle	γsd = 40 mJ/m2; 25oC                            Various test liquids.
nylon11.txt		Sewell, 1971(193)	Calculated	γs = 34.0 mJ/m2; no temp cited                  Calculated from parachor and cohesive energy.
nylon12.txt		Pfluger, 1989(224)	Critical ST	γc = 31 mJ/m2; 23oC                              Test liquids not known.
nylon12.txt		Omenyi, 1981(178)	Contact angle	θWA = 66.5o; 22oC
nylon12.txt		Gotoh, 2000(172)	Contact angle	θWA = 73.7o; no temp cited                       Single fiber measured by Wilhelmy plate technique.
nylon12.txt		Extrand, 2002(143)	Contact angle	θWA = 77.0o; θWR = 56.5o, dθW = 20.5o;           Measured by sessile drop method; cleaned with hexane and | 23oC                                             dried under vacuum.
